marital_status,daytime_evening_attendance,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,unemployment_rate,inflation_rate,gdp,target
Single,daytime,No,No,Yes,M,No,20,No,10.8,1.4,1.74,Dropout
Single,daytime,No,No,No,M,No,19,No,13.9,-0.3,0.79,Graduate
Single,daytime,No,No,No,M,No,19,No,10.8,1.4,1.74,Dropout
Single,daytime,No,No,Yes,F,No,20,No,9.4,-0.8,-3.12,Graduate
Married,evening,No,No,Yes,F,No,45,No,13.9,-0.3,0.79,Graduate
Married,evening,No,Yes,Yes,M,No,50,No,16.2,0.3,-0.92,Graduate
Single,daytime,No,No,Yes,F,Yes,18,No,15.5,2.8,-4.06,Graduate
Single,daytime,No,No,No,M,No,22,No,15.5,2.8,-4.06,Dropout
Single,daytime,No,No,Yes,F,Yes,21,Yes,16.2,0.3,-0.92,Graduate
Single,daytime,No,Yes,No,F,No,18,No,8.9,1.4,3.51,Dropout
Single,daytime,No,No,Yes,F,No,18,No,13.9,-0.3,0.79,Graduate
Single,daytime,No,No,Yes,F,Yes,18,No,12.7,3.7,-1.7,Graduate
Single,daytime,No,No,Yes,F,No,19,No,12.7,3.7,-1.7,Dropout
Single,daytime,No,No,Yes,F,Yes,21,No,8.9,1.4,3.51,Graduate
Single,daytime,No,No,Yes,F,Yes,18,No,10.8,1.4,1.74,Graduate
Single,daytime,No,No,Yes,F,No,20,No,15.5,2.8,-4.06,Dropout
Single,daytime,No,No,Yes,F,No,18,No,15.5,2.8,-4.06,Graduate
Single,daytime,No,No,Yes,F,No,20,No,10.8,1.4,1.74,Graduate
Single,daytime,No,No,Yes,F,Yes,21,No,11.1,0.6,2.02,Graduate
Single,daytime,No,No,Yes,F,No,18,No,12.7,3.7,-1.7,Graduate
Single,daytime,No,No,Yes,F,Yes,19,No,11.1,0.6,2.02,Graduate
Single,daytime,No,No,Yes,F,No,19,No,11.1,0.6,2.02,Graduate
Single,daytime,No,No,Yes,F,No,21,No,16.2,0.3,-0.92,Graduate
Single,daytime,No,No,Yes,F,No,20,No,16.2,0.3,-0.92,Graduate
Single,daytime,No,No,Yes,M,No,20,No,8.9,1.4,3.51,Graduate
Single,evening,No,No,Yes,F,No,19,No,12.4,0.5,1.79,Graduate
Single,evening,No,No,Yes,M,No,34,No,13.9,-0.3,0.79,Graduate
Single,daytime,No,Yes,No,M,No,37,No,8.9,1.4,3.51,Dropout
Single,daytime,No,No,Yes,M,No,43,No,7.6,2.6,0.32,Dropout
Single,daytime,No,No,Yes,F,No,55,No,16.2,0.3,-0.92,Dropout
Divorced,evening,No,No,Yes,F,No,39,No,7.6,2.6,0.32,Graduate
Single,daytime,No,Yes,No,F,No,20,Yes,12.4,0.5,1.79,Dropout
Single,daytime,No,Yes,Yes,F,No,18,No,12.7,3.7,-1.7,Dropout
Single,daytime,No,No,Yes,F,No,22,No,8.9,1.4,3.51,Graduate
Single,daytime,Yes,No,Yes,F,No,22,No,11.1,0.6,2.02,Graduate
Single,daytime,No,No,No,F,No,20,No,12.4,0.5,1.79,Dropout
Single,evening,No,No,Yes,F,No,29,No,16.2,0.3,-0.92,Dropout
Single,daytime,No,No,Yes,F,No,18,No,11.1,0.6,2.02,Graduate
Single,daytime,No,No,Yes,F,Yes,22,No,11.1,0.6,2.02,Graduate
Single,evening,No,No,Yes,F,Yes,21,No,12.4,0.5,1.79,Graduate
Single,daytime,No,No,Yes,F,Yes,19,No,12.7,3.7,-1.7,Graduate
Single,daytime,No,No,Yes,F,Yes,24,No,12.4,0.5,1.79,Graduate
Single,daytime,No,No,Yes,F,No,19,No,7.6,2.6,0.32,Graduate
Single,evening,No,No,Yes,F,No,27,No,9.4,-0.8,-3.12,Dropout
Single,daytime,No,No,Yes,F,No,18,No,15.5,2.8,-4.06,Graduate
Married,daytime,No,No,Yes,F,No,39,No,12.4,0.5,1.79,Dropout
Single,daytime,No,No,Yes,F,No,27,No,12.4,0.5,1.79,Dropout
Single,daytime,No,No,Yes,F,No,18,No,9.4,-0.8,-3.12,Graduate
Single,daytime,No,No,Yes,F,No,18,No,16.2,0.3,-0.92,Graduate
Single,daytime,No,No,Yes,F,Yes,21,No,13.9,-0.3,0.79,Graduate
Divorced,daytime,No,No,Yes,M,No,29,No,13.9,-0.3,0.79,Dropout
Single,daytime,No,No,Yes,M,Yes,19,No,10.8,1.4,1.74,Graduate
Single,daytime,No,No,Yes,M,No,23,No,8.9,1.4,3.51,Graduate
Single,daytime,No,Yes,Yes,M,No,19,No,16.2,0.3,-0.92,Dropout
Single,daytime,No,No,Yes,M,No,24,No,13.9,-0.3,0.79,Graduate
Single,daytime,No,No,Yes,M,No,19,No,15.5,2.8,-4.06,Dropout
Single,daytime,No,No,Yes,M,No,18,No,12.4,0.5,1.79,Dropout
Single,daytime,No,No,Yes,M,No,18,No,10.8,1.4,1.74,Graduate
Single,daytime,No,Yes,Yes,M,No,18,No,10.8,1.4,1.74,Dropout
Single,daytime,No,No,Yes,M,Yes,21,No,9.4,-0.8,-3.12,Dropout
Single,daytime,No,Yes,Yes,M,Yes,19,No,8.9,1.4,3.51,Graduate
Single,daytime,No,No,Yes,M,Yes,22,No,16.2,0.3,-0.92,Graduate
Married,evening,No,No,Yes,M,No,33,No,10.8,1.4,1.74,Graduate
Single,daytime,No,No,Yes,M,No,20,No,10.8,1.4,1.74,Dropout
Single,evening,No,No,Yes,M,No,35,No,10.8,1.4,1.74,Dropout
Single,daytime,No,Yes,Yes,M,No,24,No,12.4,0.5,1.79,Dropout
Married,evening,No,No,Yes,F,No,33,No,9.4,-0.8,-3.12,Graduate
Single,daytime,No,No,Yes,F,Yes,22,No,10.8,1.4,1.74,Graduate
Single,daytime,No,No,Yes,F,Yes,25,No,9.4,-0.8,-3.12,Graduate
