"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","Detalle_1","experimento","grupo","dataset"
"resumen_metricas","modelo_arboles - Gini",0.79,0.21,0.95789,0.69903,0.7069,0.82558,"minsplit=2",1,1,"moviles111"
"resumen_metricas.1","modelo_arboles - information",0.78,0.22,0.94737,0.65049,0.72414,0.82558,"minsplit=2",1,1,"moviles111"
"resumen_metricas1","modelo_arboles - Gini",0.8075,0.1925,0.90196,0.71429,0.68235,0.90741,"minsplit=2",1,2,"moviles111"
"resumen_metricas.11","modelo_arboles - information",0.805,0.195,0.93137,0.61905,0.85882,0.82407,"minsplit=2",1,2,"moviles111"
"resumen_metricas2","modelo_arboles - Gini",0.805,0.195,0.95,0.70103,0.70213,0.85321,"minsplit=2",1,3,"moviles111"
"resumen_metricas.12","modelo_arboles - information",0.8025,0.1975,0.97,0.69072,0.68085,0.85321,"minsplit=2",1,3,"moviles111"
"resumen_metricas3","modelo_arboles - Gini",0.815,0.185,0.94059,0.69811,0.70408,0.92632,"minsplit=2",1,4,"moviles111"
"resumen_metricas.13","modelo_arboles - information",0.8175,0.1825,0.9604,0.66981,0.72449,0.92632,"minsplit=2",1,4,"moviles111"
"resumen_metricas4","modelo_arboles - Gini",0.7675,0.2325,0.88235,0.69663,0.75701,0.72549,"minsplit=2",1,5,"moviles111"
"resumen_metricas.14","modelo_arboles - information",0.7925,0.2075,0.95098,0.66292,0.71028,0.83333,"minsplit=2",1,5,"moviles111"
"resumen_metricas5","modelo_arboles - Gini",0.7975,0.2025,0.96117,0.65138,0.68293,0.87736,"minsplit=2",2,1,"moviles111"
"resumen_metricas.15","modelo_arboles - information",0.765,0.235,0.96117,0.54128,0.67073,0.87736,"minsplit=2",2,1,"moviles111"
"resumen_metricas6","modelo_arboles - Gini",0.8025,0.1975,0.91176,0.73118,0.71277,0.83784,"minsplit=2",2,2,"moviles111"
"resumen_metricas.16","modelo_arboles - information",0.8075,0.1925,0.91176,0.78495,0.68085,0.83784,"minsplit=2",2,2,"moviles111"
"resumen_metricas7","modelo_arboles - Gini",0.8075,0.1925,0.94175,0.70408,0.75758,0.82,"minsplit=2",2,3,"moviles111"
"resumen_metricas.17","modelo_arboles - information",0.805,0.195,0.94175,0.67347,0.77778,0.82,"minsplit=2",2,3,"moviles111"
"resumen_metricas8","modelo_arboles - Gini",0.77,0.23,0.94059,0.73333,0.58586,0.82105,"minsplit=2",2,4,"moviles111"
