"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","experimento","grupo","dataset"
"resumen_metricas","modelo_arboles - Gini",0.815,0.185,0.96939,0.76768,0.7094,0.83721,1,1,"moviles111"
"resumen_metricas.1","modelo_arboles - information",0.8175,0.1825,0.97959,0.70707,0.76068,0.83721,1,1,"moviles111"
"resumen_metricas1","modelo_arboles - Gini",0.8225,0.1775,0.90741,0.74074,0.6875,0.91304,1,2,"moviles111"
"resumen_metricas.11","modelo_arboles - information",0.8275,0.1725,0.88889,0.77778,0.6875,0.92174,1,2,"moviles111"
"resumen_metricas2","modelo_arboles - Gini",0.7625,0.2375,0.92308,0.62037,0.70833,0.81905,1,3,"moviles111"
"resumen_metricas.12","modelo_arboles - information",0.7725,0.2275,0.92308,0.66667,0.69792,0.81905,1,3,"moviles111"
"resumen_metricas3","modelo_arboles - Gini",0.805,0.195,0.8835,0.75229,0.65909,0.91,1,4,"moviles111"
"resumen_metricas.13","modelo_arboles - information",0.7825,0.2175,0.94175,0.57798,0.70455,0.91,1,4,"moviles111"
"resumen_metricas4","modelo_arboles - Gini",0.7925,0.2075,0.96,0.6699,0.70874,0.84043,1,5,"moviles111"
"resumen_metricas.14","modelo_arboles - information",0.78,0.22,0.96,0.6699,0.68932,0.80851,1,5,"moviles111"
"resumen_metricas5","modelo_arboles - Gini",0.8075,0.1925,0.94286,0.70213,0.71739,0.84404,2,1,"moviles111"
"resumen_metricas.15","modelo_arboles - information",0.7925,0.2075,0.9619,0.64894,0.68478,0.84404,2,1,"moviles111"
"resumen_metricas6","modelo_arboles - Gini",0.7825,0.2175,0.9717,0.6055,0.75309,0.79808,2,2,"moviles111"
"resumen_metricas.16","modelo_arboles - information",0.8025,0.1975,0.96226,0.65138,0.76543,0.82692,2,2,"moviles111"
"resumen_metricas7","modelo_arboles - Gini",0.81,0.19,0.89381,0.78889,0.70103,0.84,2,3,"moviles111"
"resumen_metricas.17","modelo_arboles - information",0.8125,0.1875,0.92035,0.74444,0.70103,0.86,2,3,"moviles111"
"resumen_metricas8","modelo_arboles - Gini",0.7875,0.2125,0.91011,0.71296,0.70909,0.84946,2,4,"moviles111"
"resumen_metricas.18","modelo_arboles - information",0.7875,0.2125,0.94382,0.63889,0.75455,0.84946,2,4,"moviles111"
"resumen_metricas9","modelo_arboles - Gini",0.785,0.215,0.93103,0.72727,0.7,0.81915,2,5,"moviles111"
"resumen_metricas.19","modelo_arboles - information",0.785,0.215,0.95402,0.65657,0.70833,0.8617,2,5,"moviles111"
"resumen_metricas10","modelo_arboles - Gini",0.775,0.225,0.94845,0.71028,0.53535,0.91753,3,1,"moviles111"
"resumen_metricas.110","modelo_arboles - information",0.7875,0.2125,0.94845,0.6729,0.64646,0.89691,3,1,"moviles111"
"resumen_metricas11","modelo_arboles - Gini",0.7725,0.2275,0.92473,0.66038,0.66,0.86139,3,2,"moviles111"
"resumen_metricas.111","modelo_arboles - information",0.7725,0.2275,0.92473,0.66038,0.66,0.86139,3,2,"moviles111"
"resumen_metricas12","modelo_arboles - Gini",0.8075,0.1925,0.89773,0.72043,0.83636,0.77982,3,3,"moviles111"
"resumen_metricas.112","modelo_arboles - information",0.8225,0.1775,0.86364,0.77419,0.80909,0.84404,3,3,"moviles111"
"resumen_metricas13","modelo_arboles - Gini",0.795,0.205,0.95455,0.69792,0.66327,0.84375,3,4,"moviles111"
"resumen_metricas.113","modelo_arboles - information",0.7975,0.2025,0.95455,0.67708,0.69388,0.84375,3,4,"moviles111"
"resumen_metricas14","modelo_arboles - Gini",0.8025,0.1975,0.95536,0.63265,0.80645,0.79381,3,5,"moviles111"
"resumen_metricas.114","modelo_arboles - information",0.825,0.175,0.91964,0.71429,0.8172,0.83505,3,5,"moviles111"
"resumen_metricas15","modelo_arboles - Gini",0.7925,0.2075,0.83333,0.75532,0.76289,0.81188,1,1,"moviles112"
"resumen_metricas.115","modelo_arboles - information",0.785,0.215,0.90741,0.58511,0.83505,0.79208,1,1,"moviles112"
"resumen_metricas16","modelo_arboles - Gini",0.79,0.21,0.98039,0.70213,0.73469,0.73585,1,2,"moviles112"
"resumen_metricas.116","modelo_arboles - information",0.7725,0.2275,0.88235,0.70213,0.71429,0.78302,1,2,"moviles112"
"resumen_metricas21","modelo_arboles - Gini",0.7375,0.2625,0.92857,0.61017,0.56481,0.93333,1,3,"moviles112"
"resumen_metricas.121","modelo_arboles - information",0.8025,0.1975,0.94048,0.70339,0.72222,0.9,1,3,"moviles112"
"resumen_metricas31","modelo_arboles - Gini",0.79,0.21,0.96875,0.70103,0.67593,0.82828,1,4,"moviles112"
"resumen_metricas.131","modelo_arboles - information",0.795,0.205,0.97917,0.65979,0.71296,0.83838,1,4,"moviles112"
"resumen_metricas41","modelo_arboles - Gini",0.8025,0.1975,0.94545,0.65979,0.76404,0.81731,1,5,"moviles112"
"resumen_metricas.141","modelo_arboles - information",0.805,0.195,0.94545,0.62887,0.80899,0.81731,1,5,"moviles112"
"resumen_metricas51","modelo_arboles - Gini",0.76,0.24,0.96809,0.76744,0.53782,0.82178,2,1,"moviles112"
"resumen_metricas.151","modelo_arboles - information",0.7625,0.2375,0.98936,0.59302,0.63866,0.84158,2,1,"moviles112"
"resumen_metricas61","modelo_arboles - Gini",0.815,0.185,0.9596,0.70642,0.72,0.8913,2,2,"moviles112"
"resumen_metricas.161","modelo_arboles - information",0.7975,0.2025,0.89899,0.6789,0.74,0.8913,2,2,"moviles112"
"resumen_metricas71","modelo_arboles - Gini",0.7925,0.2075,0.8932,0.75926,0.68421,0.82979,2,3,"moviles112"
"resumen_metricas.171","modelo_arboles - information",0.79,0.21,0.94175,0.63889,0.70526,0.88298,2,3,"moviles112"
"resumen_metricas81","modelo_arboles - Gini",0.8,0.2,0.91919,0.68868,0.74468,0.85149,2,4,"moviles112"
"resumen_metricas.181","modelo_arboles - information",0.785,0.215,0.89899,0.70755,0.79787,0.74257,2,4,"moviles112"
"resumen_metricas91","modelo_arboles - Gini",0.8075,0.1925,0.92381,0.72527,0.65217,0.89286,2,5,"moviles112"
"resumen_metricas.191","modelo_arboles - information",0.8375,0.1625,0.95238,0.7033,0.77174,0.89286,2,5,"moviles112"
"resumen_metricas101","modelo_arboles - Gini",0.83,0.17,0.92553,0.78125,0.61053,0.97391,3,1,"moviles112"
"resumen_metricas.1101","modelo_arboles - information",0.8125,0.1875,0.94681,0.69792,0.78947,0.81739,3,1,"moviles112"
"resumen_metricas111","modelo_arboles - Gini",0.79,0.21,0.9902,0.72727,0.62136,0.83529,3,2,"moviles112"
"resumen_metricas.1111","modelo_arboles - information",0.815,0.185,0.9902,0.69091,0.78641,0.8,3,2,"moviles112"
"resumen_metricas121","modelo_arboles - Gini",0.81,0.19,0.93578,0.71717,0.72917,0.84375,3,3,"moviles112"
"resumen_metricas.1121","modelo_arboles - information",0.82,0.18,0.93578,0.68687,0.75,0.89583,3,3,"moviles112"
"resumen_metricas131","modelo_arboles - Gini",0.7675,0.2325,0.93407,0.64,0.75,0.76147,3,4,"moviles112"
"resumen_metricas.1131","modelo_arboles - information",0.7825,0.2175,0.93407,0.65,0.7,0.85321,3,4,"moviles112"
"resumen_metricas141","modelo_arboles - Gini",0.765,0.235,0.89423,0.67368,0.68868,0.8,3,5,"moviles112"
"resumen_metricas.1141","modelo_arboles - information",0.79,0.21,0.90385,0.68421,0.74528,0.82105,3,5,"moviles112"
"resumen_metricas17","modelo_arboles - Gini",0.8,0.2,0.91667,0.79208,0.68932,0.79545,1,1,"moviles121"
"resumen_metricas.117","modelo_arboles - information",0.7825,0.2175,0.94444,0.69307,0.68932,0.79545,1,1,"moviles121"
"resumen_metricas18","modelo_arboles - Gini",0.77,0.23,0.86275,0.70476,0.56522,0.93069,1,2,"moviles121"
"resumen_metricas.118","modelo_arboles - information",0.8,0.2,0.91176,0.68571,0.72826,0.87129,1,2,"moviles121"
